[ INFO] [1775033725.535744650, 58.380000000]: Control Output - Linear X: -1.00, Linear Y: -0.01, Angular Z: 1.00
[ INFO] [1775033725.702743963, 58.480000000]: Current Position - X: 1.12, Y: -0.00, Theta: 0.31
[ INFO] [1775033725.702844097, 58.480000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.14
[ INFO] [1775033725.702893444, 58.480000000]: Control Output - Linear X: -1.00, Linear Y: 0.00, Angular Z: 1.00
[ INFO] [1775033725.869503676, 58.580000000]: Current Position - X: 1.09, Y: -0.01, Theta: 0.31
[ INFO] [1775033725.869594818, 58.580000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.13
[ INFO] [1775033725.869625092, 58.580000000]: Control Output - Linear X: -1.00, Linear Y: 0.02, Angular Z: 1.00
[ INFO] [1775033726.036160725, 58.680000000]: Current Position - X: 1.04, Y: -0.03, Theta: 0.32
[ INFO] [1775033726.036244058, 58.680000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.11
[ INFO] [1775033726.036270364, 58.680000000]: Control Output - Linear X: -1.00, Linear Y: 0.05, Angular Z: 1.00
[ INFO] [1775033726.204496811, 58.780000000]: Current Position - X: 0.94, Y: -0.06, Theta: 0.32
[ INFO] [1775033726.204585809, 58.780000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.34
[ INFO] [1775033726.204615635, 58.780000000]: Control Output - Linear X: 1.00, Linear Y: 1.00, Angular Z: -0.76
[ INFO] [1775033726.440864169, 58.880000000]: Current Position - X: 0.85, Y: -0.09, Theta: 0.35
[ INFO] [1775033726.440946479, 58.880000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.30
[ INFO] [1775033726.440975280, 58.880000000]: Control Output - Linear X: 0.68, Linear Y: 1.00, Angular Z: 0.88
[ INFO] [1775033726.632087386, 58.980000000]: Current Position - X: 0.84, Y: -0.09, Theta: 0.38
[ INFO] [1775033726.632175104, 58.980000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.30
[ INFO] [1775033726.632206530, 58.980000000]: Control Output - Linear X: 0.62, Linear Y: 1.00, Angular Z: 0.89
[ INFO] [1775033726.796914676, 59.080000000]: Current Position - X: 0.86, Y: -0.08, Theta: 0.39
